                       Model Firmware Serial Number  Total Size                                Power On Time Power On Days Lifetime Writes Health Performance        Sectors
0   HP      8GB_EM_USB_Drive     PMAP      PMAP1234     7648 MB                                         None          None            None                         Sectors\n
1       TOSHIBA AL14SEB120NY     EA05  18V0A189FL0E  1144639 MB  2256 days, 23 hours, 34 minutes (estimated)   54167 hours        34.97 TB    100         100      Sectors\n
2       TOSHIBA AL14SEB120NY     EA05  18V0A110FL0E  1144639 MB  2256 days, 23 hours, 46 minutes (estimated)   54167 hours        34.73 TB    100         100      Sectors\n
3       TOSHIBA AL14SEB120NY     EA05  18V0A16YFL0E  1144639 MB    2257 days, 0 hours, 9 minutes (estimated)   54168 hours           35 TB    100         100      Sectors\n
4      QEMU    QEMU HARDDISK     2.5+             ?   491519 MB                                         None          None            None                         Sectors\n
5       TOSHIBA AL14SEB120NY     EA05  2860A0L0FL0E  1144639 MB    2257 days, 0 hours, 9 minutes (estimated)   54168 hours        35.41 TB    100         100      Sectors\n
6       TOSHIBA AL14SEB120NY     EA05  2860A0J1FL0E  1144639 MB   2257 days, 0 hours, 11 minutes (estimated)   54168 hours        35.38 TB    100         100      Sectors\n
7       TOSHIBA AL14SEB120NY     EA05  18V0A17PFL0E  1144639 MB   2257 days, 0 hours, 39 minutes (estimated)   54168 hours        35.40 TB    100         100      Sectors\n
8       TOSHIBA AL14SEB120NY     EA05  18V0A0VSFL0E  1144639 MB   2257 days, 1 hours, 26 minutes (estimated)   54169 hours        35.62 TB    100         100      Sectors\n
9       TOSHIBA AL14SEB120NY     EA05  2860A0JNFL0E  1144639 MB   2256 days, 21 hours, 5 minutes (estimated)   54165 hours         2.51 TB    100         100      Sectors\n
10      TOSHIBA AL14SEB120NY     EA05  2860A0JYFL0E  1144639 MB  2256 days, 23 hours, 52 minutes (estimated)   54167 hours        35.21 TB    100         100      Sectors\n
11      TOSHIBA AL14SEB120NY     EA05  18V0A0SXFL0E  1144639 MB   2257 days, 0 hours, 31 minutes (estimated)   54168 hours        34.84 TB    100         100      Sectors\n
12      TOSHIBA AL14SEB120NY     EA05  18V0A17NFL0E  1144639 MB    2257 days, 0 hours, 9 minutes (estimated)   54168 hours        35.44 TB    100         100      Sectors\n
13      TOSHIBA AL14SEB120NY     EA05  18V0A16QFL0E  1144639 MB  2256 days, 23 hours, 10 minutes (estimated)   54167 hours        34.94 TB    100         100      Sectors\n
14      TOSHIBA AL14SEB120NY     EA05  18V0A0C6FL0E  1144639 MB  2256 days, 23 hours, 55 minutes (estimated)   54167 hours        35.50 TB    100         100      Sectors\n
15      TOSHIBA AL14SEB120NY     EA05  2860A0JWFL0E  1144639 MB   2257 days, 0 hours, 30 minutes (estimated)   54168 hours        34.91 TB    100         100      Sectors\n
