                      Model  Firmware       Serial Number  Total Size                    Power On Time Power On Days Lifetime Writes Health Performance                                                                                            Sectors
0               VO0160ECHPL  4PC1HPG1  BTPR225300KY160DGN   152625 MB              3682 days, 14 hours   88382 hours            None     99         100      The status of the solid state disk is PERFECT. Problematic or weak sectors were not found. \n
1   SAMSUNG MZILT800HBHQ0D3      DWA4      S5YMNA0RA12008   763095 MB  1105 days, 13 hours, 44 minutes   26533 hours     1,200.03 TB     90         100      The status of the solid state disk is PERFECT. Problematic or weak sectors were not found. \n
2   SAMSUNG MZILT800HBHQ0D3      DWA4      S5YMNA0RA11990   763095 MB  1105 days, 13 hours, 39 minutes   26533 hours     1,181.16 TB     90         100      The status of the solid state disk is PERFECT. Problematic or weak sectors were not found. \n
3   SAMSUNG MZILT800HBHQ0D3      DWA4      S5YMNA0RA11965   763095 MB  1107 days, 20 hours, 32 minutes   26588 hours          891 TB     93         100      The status of the solid state disk is PERFECT. Problematic or weak sectors were not found. \n
4   SAMSUNG MZILT800HBHQ0D3      DWA4      S5YMNA0RA11953   763095 MB  1107 days, 20 hours, 35 minutes   26588 hours       786.33 TB     94         100      The status of the solid state disk is PERFECT. Problematic or weak sectors were not found. \n
5   SAMSUNG MZILT800HBHQ0D3      DWA4      S5YMNA0RA12009   763095 MB  1108 days, 15 hours, 23 minutes   26607 hours     1,252.61 TB     90         100      The status of the solid state disk is PERFECT. Problematic or weak sectors were not found. \n
6   SAMSUNG MZILT800HBHQ0D3      DWA4      S5YMNA0RA11983   763095 MB  1108 days, 15 hours, 20 minutes   26607 hours     1,208.39 TB     90         100      The status of the solid state disk is PERFECT. Problematic or weak sectors were not found. \n
7   SAMSUNG MZILT800HBHQ0D3      DWA4      S5YMNA0RA12010   763095 MB  1105 days, 13 hours, 52 minutes   26533 hours     1,365.55 TB     88         100      The status of the solid state disk is PERFECT. Problematic or weak sectors were not found. \n
8   SAMSUNG MZILT800HBHQ0D3      DWA4      S5YMNA0RA11938   763095 MB   1101 days, 9 hours, 55 minutes   26433 hours     1,307.67 TB     90         100      The status of the solid state disk is PERFECT. Problematic or weak sectors were not found. \n
9   SAMSUNG MZILT800HBHQ0D3      DWA4      S5YMNA0RA11993   763095 MB  1101 days, 10 hours, 11 minutes   26434 hours     1,244.13 TB     90         100      The status of the solid state disk is PERFECT. Problematic or weak sectors were not found. \n
10  SAMSUNG MZILT800HBHQ0D3      DWA4      S5YMNA0RA11984   763095 MB    1107 days, 8 hours, 2 minutes   26576 hours     1,179.94 TB     90         100      The status of the solid state disk is PERFECT. Problematic or weak sectors were not found. \n
11  SAMSUNG MZILT800HBHQ0D3      DWA4      S5YMNA0RA11937   763095 MB    1107 days, 8 hours, 2 minutes   26576 hours     1,320.66 TB     89         100      The status of the solid state disk is PERFECT. Problematic or weak sectors were not found. \n
12  SAMSUNG MZILT800HBHQ0D3      DWA4      S5YMNA0RA11981   763095 MB  1105 days, 13 hours, 58 minutes   26533 hours     1,215.61 TB     90         100      The status of the solid state disk is PERFECT. Problematic or weak sectors were not found. \n
13          HFS3T8G3H2X069N      DZ02   ADAAN4150I090A91W  3662827 MB              1105 days, 13 hours   26533 hours       416.46 TB     99         100      The status of the solid state disk is PERFECT. Problematic or weak sectors were not found. \n
14          HFS3T8G3H2X069N      DZ02   ADAAN4150I090A925  3662827 MB              1105 days, 13 hours   26533 hours       416.69 TB     99         100      The status of the solid state disk is PERFECT. Problematic or weak sectors were not found. \n
15          HFS3T8G3H2X069N      DZ02   ADAAN4150I060AN2S  3662827 MB              1105 days, 14 hours   26534 hours       415.11 TB     99         100      The status of the solid state disk is PERFECT. Problematic or weak sectors were not found. \n
16          HFS3T8G3H2X069N      DZ02   ADAAN4150I090A926  3662827 MB              1105 days, 13 hours   26533 hours       413.06 TB     99         100      The status of the solid state disk is PERFECT. Problematic or weak sectors were not found. \n
17          HFS3T8G3H2X069N      DZ02   ADAAN4150I060AN2W  3662827 MB              1105 days, 13 hours   26533 hours       530.74 TB     99         100      The status of the solid state disk is PERFECT. Problematic or weak sectors were not found. \n
18          HFS3T8G3H2X069N      DZ02   AJABN5310I310BE1S  3662827 MB              1105 days, 13 hours   26533 hours          532 TB     99         100      The status of the solid state disk is PERFECT. Problematic or weak sectors were not found. \n
19          HFS3T8G3H2X069N      DZ02   ADAAN4150I090A91X  3662827 MB              1105 days, 13 hours   26533 hours       524.52 TB     99         100      The status of the solid state disk is PERFECT. Problematic or weak sectors were not found. \n
20          HFS3T8G3H2X069N      DZ02   AJABN5310I310BE1T  3662827 MB              1105 days, 13 hours   26533 hours       527.77 TB     99         100      The status of the solid state disk is PERFECT. Problematic or weak sectors were not found. \n
21          HFS3T8G3H2X069N      DZ02   ADAAN4150I060AN1V  3662827 MB              1107 days, 21 hours   26589 hours       392.54 TB     99         100      The status of the solid state disk is PERFECT. Problematic or weak sectors were not found. \n
22          HFS3T8G3H2X069N      DZ02   ADAAN4150I060AN1X  3662827 MB              1107 days, 21 hours   26589 hours       391.74 TB     99         100      The status of the solid state disk is PERFECT. Problematic or weak sectors were not found. \n
23          HFS3T8G3H2X069N      DZ02   ADAAN4150I060AN1Z  3662827 MB              1107 days, 20 hours   26588 hours       390.98 TB     99         100      The status of the solid state disk is PERFECT. Problematic or weak sectors were not found. \n
24          HFS3T8G3H2X069N      DZ02   ADAAN4150I060AN1Y  3662827 MB              1107 days, 21 hours   26589 hours       393.47 TB     99         100      The status of the solid state disk is PERFECT. Problematic or weak sectors were not found. \n
